"Rank","Country","Population_2026","Yearly_Change","Net_Change","Density_per_km2","Land_Area_km2","Migrants","Fert_Rate","Median_Age","Urban_Pop_Pct","World_Share","Dependency_Pressure_Index","Urban_Stress_Index","Pop_Density_Log","Population_Log","CPPS","Population_Pressure"
152,"North Macedonia",1804063,1.15,84065,72,25220,0,1.47,41.4,70.3,0.022,105.84,80.845,4.29045944114839,14.4055524556938,0.297116732443931,"Low"
153,"Bahrain",1675572,1.96,32240,923.25,760,8498,1.77,33.4,62.4,0.02,1634.1525,122.304,6.82898259781674,14.3316657542943,0.603547243763666,"High"
154,"Trinidad and Tobago",1513268,0.14,2113,295,5130,160,1.52,38.2,49.1,0.018,448.4,6.874,5.69035945432406,14.2297827694326,0.255903954566851,"Low"
155,"Timor-Leste",1436923,1.3,18406,97,14870,0,2.5,22.1,36.7,0.017,242.5,47.71,4.58496747867057,14.1780152757015,0.35134998879067,"Moderate"
156,"Cyprus",1382334,0.84,11580,150,9240,7210,1.37,39.1,61.1,0.017,205.5,51.324,5.01727983681492,14.1392846562505,0.321620795521737,"Low"
157,"Estonia",1331062,1.15,84065,31,42390,0,1.38,43.2,67.5,0.016,42.78,77.625,3.46573590279973,14.1014884290895,0.274744019437561,"Low"
158,"Eswatini",1269859,1.09,13685,74,17200,0,2.64,22.7,31.7,0.015,195.36,34.553,4.31748811353631,14.0544172161378,0.329822613699588,"Moderate"
159,"Mauritius",1265059,1.15,84065,623,2030,0,1.21,38.3,41.8,0.015,753.83,48.07,6.43615036836943,14.050630109849,0.362624231086638,"Moderate"
160,"Djibouti",1199459,1.3,15383,52,23180,302,2.54,25.2,71.4,0.014,132.08,92.82,3.97029191355212,13.9973820134778,0.397091116979365,"Moderate"
161,"Fiji",937282,0.44,4128,51,18270,0,2.23,28.3,61.3,0.011,113.73,26.972,3.95124371858143,13.7507405433675,0.30045603304178,"Low"
162,"Comoros",899010,1.83,16163,483,1861,0,3.71,20.7,34,0.011,1791.93,62.22,6.18208490671663,13.7090505491965,0.526493401903252,"High"
163,"Réunion",886298,0.44,3893,355,2500,0,2.12,38.4,62.4,0.011,752.6,27.456,5.87493073085203,13.6948096444397,0.338548015193917,"Moderate"
164,"Solomon Islands",858288,2.34,19643,31,27990,1570,3.42,20.9,23,0.01,106.02,53.82,3.46573590279973,13.6626961515925,0.436956751576094,"High"
165,"Guyana",840890,0.59,4904,4,196850,0,2.35,26.5,26.8,0.01,9.4,15.812,1.6094379124341,13.6422173229453,0.251142091412897,"Low"
166,"Bhutan",802214,0.69,5532,21,38117,633,1.43,31,51.1,0.0097,30.03,35.259,3.09104245335832,13.5951319307222,0.250742652120932,"Low"
167,"Macao",723188,0.16,1181,923.25,30,826,0.7,40.3,98.3,0.0087,646.275,15.728,6.82898259781674,13.4914258777674,0.436143303107993,"High"
168,"Luxembourg",687448,1.03,6995,265,2590,4938,1.41,39.7,87.4,0.0083,373.65,90.022,5.5834963087817,13.4407429239531,0.390669842990441,"Moderate"
169,"Suriname",645256,0.84,5406,4,156000,0,2.19,28.9,62.4,0.0078,8.76,52.416,1.6094379124341,13.3774039660303,0.314270320481842,"Low"
170,"Montenegro",626233,1.15,84065,47,13450,0,1.79,40.4,69.7,0.0075,84.13,80.155,3.87120101090789,13.3474793821526,0.308675578491065,"Low"
171,"Western Sahara",610813,1.65,9909,2,266000,4689,2.13,32.8,97.6,0.0074,4.26,161.04,1.09861228866811,13.3225477728236,0.440853358860046,"High"
172,"Malta",549011,0.66,3606,923.25,320,2157,1.12,41.5,76.2,0.0066,1034.04,50.292,6.82898259781674,13.2158755781763,0.455732222915327,"High"
173,"Maldives",531517,0.35,1841,923.25,300,0,1.53,33.4,40.3,0.0064,1412.5725,14.105,6.82898259781674,13.1834923426065,0.401459455322141,"Moderate"
174,"Cabo Verde",529630,0.44,2304,131,4030,0,1.49,29.5,79.6,0.0064,195.19,35.024,4.88280192258637,13.179935816635,0.310067792374097,"Low"
175,"Brunei",469775,0.74,3445,89,5270,8,1.7,33.2,80.6,0.0057,151.3,59.644,4.49980967033027,13.0600112643337,0.323195393265322,"Low"
176,"Belize",428644,1.35,5720,19,22810,392,1.99,27.3,49,0.0052,37.81,66.15,2.99573227355399,12.9683843495107,0.32358431742059,"Moderate"
177,"Bahamas",404628,0.4,1595,40,10010,902,1.36,35.7,88.9,0.0049,54.4,35.56,3.71357206670431,12.9107258768763,0.287742110933218,"Low"
178,"Iceland",402329,1.02,4063,4,100250,2027,1.49,36.6,83.7,0.0048,5.96,85.374,1.6094379124341,12.9050279263731,0.321401694980384,"Low"
179,"Guadeloupe",372453,1.15,84065,220,1690,0,2.04,47.4,62.4,0.0045,448.8,71.76,5.39816270151775,12.8278688192434,0.329050859923489,"Moderate"
180,"Mayotte",347536,3.12,10525,923.25,375,0,4.43,17.3,41.1,0.0042,4089.9975,128.232,6.82898259781674,12.7586264131391,0.759510265440059,"High"
181,"Vanuatu",342564,2.21,7395,28,12190,0,3.5,20.3,25.5,0.0041,98,56.355,3.36729582998647,12.7442166997002,0.428385744236257,"High"
182,"Martinique",337711,1.15,84065,319,1060,0,1.95,50.2,62.4,0.0041,622.05,71.76,5.76832099579377,12.7299487402404,0.3393801046594,"Moderate"
183,"French Guiana",318872,1.66,5206,4,82200,0,3.25,24.9,95.2,0.0038,13,158.032,1.6094379124341,12.6725481833743,0.48381123978828,"High"
184,"New Caledonia",297892,0.87,2559,16,18280,348,1.93,34.8,76.3,0.0036,30.88,66.381,2.83321334405622,12.6044896406072,0.317697517886076,"Low"
185,"French Polynesia",283076,0.22,611,77,3660,0,1.47,36.7,66.3,0.0034,113.19,14.586,4.35670882668959,12.5534742244227,0.243360776557072,"Low"
186,"Barbados",282724,0.04,101,657,430,0,1.71,39.7,32.7,0.0034,1123.47,1.308,6.48920493132532,12.5522299727395,0.30467077731631,"Low"
187,"Sao Tome & Principe",244994,1.97,4740,255,960,0,3.47,19.7,78.9,0.003,884.85,155.433,5.54517744447956,12.4089930811553,0.553360334226084,"High"
188,"Samoa",220528,0.56,1222,78,2830,0,3.7,19.8,16.3,0.0027,288.6,9.128,4.36944785246702,12.3037844844955,0.329236307931452,"Moderate"
189,"Curaçao",185440,1.15,84065,418,444,462,1.07,39,81.2,0.0022,447.26,93.38,6.03787091992214,12.1304920511388,0.379664368126508,"Moderate"
190,"Saint Lucia",180488,0.19,339,296,610,0,1.37,35.1,20.1,0.0022,405.52,3.819,5.6937321388027,12.1034251130698,0.20902188509929,"Low"
191,"Guam",170185,0.7,1186,315,540,0,2.68,31.6,98.9,0.0021,844.2,69.23,5.75574221358691,12.044647235569,0.45238789748471,"High"
192,"Kiribati",138445,1.43,1957,171,810,0,3.06,23,57.9,0.0017,523.26,82.797,5.14749447681345,11.8382356368852,0.436975593971449,"High"
193,"Seychelles",134959,1.64,2180,293,460,1367,2.06,34.6,43.4,0.0016,603.58,71.176,5.68357976733868,11.8127337172198,0.383478311926009,"Moderate"
194,"Grenada",117362,0.05,59,345,340,0,1.45,34.9,35.8,0.0014,500.25,1.79,5.84643877505772,11.6730269748623,0.24187920366763,"Low"
